job_title,company_name,company_location,work_method,post_date,work_time,job_desc
Full-Time Floating Teller,Northwest Bank,"Corry, PA",On-site,3 weeks ago,Full-time · Entry level,"About the job
Northwest tellers are important members of our retail network team because they often have the most interaction with our customers. Northwest tellers provide an excellent customer service experience by welcoming customers, efficiently processing transactions, resolving problems and uncovering financial needs for referral to the appropriate line of business. The floating teller position also supports the operational needs of the bank by traveling to various locations and working a varied, flexible schedule.

Essential Functions
Have open availability to work a flexible schedule that varies weekly, sometimes daily, based on the needs of the bank
Travel to bank locations within a specified geographic region, potentially mid-shift with little notice
Must have access to reliable transportation to facilitate working in multiple locations
Reliable attendance is required
Achieve financial wellness activity goals, such as identifying referral opportunities
Actively engage with and greet customers and take ownership to resolve any customer issues or concerns
Balance teller drawer daily and participate in dual control balancing of vault, ATM, and any other device, as needed
Assigned an elevated drawer limit, check signing authority, supervisor authority in teller system, as needed
Deliver on our North(west) star experience and champion our customer’s financial wellness through delivery of exceptional customer experience – both in person, over the phone, and through email communications
Have general knowledge of all office systems and software, perform maintenance and possess an in-depth knowledge of bank products, services, and digital offerings
Exceptional delivery of our 5 Culture Promises
Knowledge and adherence to all security and dual control processes
Responsible to participate in branch opening and closing tasks as needed
Complete educational training as assigned and self-educate using bank designed programs and applications
Able to work evening hours and weekends as scheduled or assigned
Ensure compliance with Northwest’s policies and procedures, and Federal/State regulations
Navigate Microsoft Office Software, computer applications, and software specific to the department in order to maximize technology tools and gain efficiency
Work as part of a team
Work with on-site equipment
Knowledge, Skills, And Abilities
Ability to establish effective working relationships among team members and participate in solving problems and making decisions
Ability to present and express ideas and information clearly and concisely in a manner appropriate to the audience, whether oral or written
Ability to actively listen to what others are saying to achieve understanding, sharing information with others and facilitating the open exchange of ideas and information
Ability to establish courses of action for self to accomplish specific goals, develop and use tracking systems for monitoring own work progress, and effectively use resources such as time and information
Ability to make right decisions based on perceptive and analytical processes, practicing good judgment in gray areas
Qualifications

To perform this job successfully, an individual must be able to perform each essential duty satisfactorily. The requirements listed below are representative of the knowledge, skill, and/or ability required. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.

Education
High School Diploma or Equivalent preferred
Work Experience
Customer Service Experience preferred
Cash Handling Experience preferred
Banking and/or Retail Experience preferred"
Retail Guest Support Lead,Bob's Discount Furniture,"Livonia, MI",On-site,4 hours ago,Part-time · Entry level,"About the job
At Bob’s Discount Furniture, we have fun, we love what we do and it shows in our expansive growth! Our Retail Guest Support Leads are the cornerstones of Bob’s success. The Retail Guest Support Lead will assist in creating a positive environment that exemplifies the “Bob’s Way” of doing business which fosters creativity, honesty, integrity and an outstanding customer experience. The Retail Guest Support Lead will endeavor to provide and encourage superlative customer service and exceptional sales support. The Retail Guest Support Lead will develop and maintain strong interpersonal relationships with customers and co-workers through open communication and effective leadership.

""No phony sales, no phony gimmicks, just everyday low prices and value!

We call it the Bob’s Way because no one does it better!"" - Bob Kaufman Founder and President Emeritus

At Bob’s we understand there are many companies you can choose to work for, so, along with exceptional opportunities for career growth we offer a fun and team oriented work environment and great benefits!

The Benefits and Perks

Feeling under the weather, we’ve got you covered! We offer National Health, Dental and Vision coverage
Life insurance – Employer paid basic Life Insurance, with the option to add Voluntary Life Insurance as well!
401(k) Profit Sharing Plan – Generous Company match!
Paid Personal/Sick Days
Paid Vacation, Sick Days, Holidays and your Birthday! After all, your birthday should be a holiday
Employee Assistance Program
Our prices are already low, but why not more! Generous Employee Discount
The flexibility of working a Retail Schedule (weekends, evenings & holidays)
Need a pay advance? Take advantage of Bob’s Bail Out Program
Have an unexpected extraordinary expense? Take advantage of Bob’s Helping Hand Program. Bob’s cares and is here to help
And much more!

Many of our benefits are paid wholly or in part by Bob’s Discount Furniture and are available to eligible employees.

It is policy of Bob’s Discount Furniture, Inc., to provide equal employment opportunity to all employees and applicants for employment. No person shall be discriminated against or harassed because of race, religion, color, sex, age, national origin, disability, pregnancy, citizenship, veteran or military status, or any other protected status in accordance with federal, state or local law.

If you would like to contact us regarding the accessibility of our website or need assistance completing the application process, please contact _hrsupport@mybobs.com. This contact information is for accommodation requests only and cannot be used to inquire about the status of applications."
Houseperson - Housepersona,Hyatt Hotels Corporation,"Kansas City, MO",On-site,2 weeks ago,Full-time · Mid-Senior level,"About the job
Resumen

El empleado de Housekeeping es responsable de mantener limpio el hotel. Esta persona tiene que tener buenos conocimientos de comunicación y también la habilidad de levantar, tirar y empujar peso moderado. En este puesto se trabaja a un ritmo muy rápido."
Financial Advisor,Equitable Advisors,"Saddle Brook, NJ",On-site,2 weeks ago,Full-time · Entry level,"About the job
With Equitable founded in 1859, Equitable Advisors is a leading firm in the financial services and insurance industry with a mission to help people build fulfilling futures grounded in our stability, innovative solutions and commitments to our clients. Equitable Advisors is seeking entrepreneurial-oriented individuals to join our team as a Financial Professional. In that role, you will:· Analyze financial information obtained from clients to determine strategies, financial products and services to help clients meet their financial objectives· Build and maintain a client base, keep client plans up-to-date and acquire new clients on an ongoing basis· Incorporate Holistic Life Planning and Financial Planning strategies to provide recommendations and sell appropriate financial products and services including life insurance, annuities, and investment options (including both Equitable-manufactured products and other products available through our open-infrastructure platform) What it takes to be an Equitable Advisors’ Financial Professional with a wide range of successful financial professionals, prior educational focus and professional background does not necessarily dictate success. We see success with people directly out of college, frustrated professionals looking to begin new career opportunities and those already in the financial services industry seeking a more comprehensive platform. We also seek and develop people of all backgrounds built on our proud history and focus of developing diverse talent and enabling an inclusive work environment. · A four-year college degree is preferred but not required· You will be required to attain state life and health licenses, SIE, FINRA Series 7 and 66 exams (other designations a plus) · Results-driven, highly motivated, self-starter who possesses integrity, a strong work ethic and the desire to help others plan for and protect their financial futures· Team player who possesses excellent interpersonal skills and communication abilities, with a high degree of self-confidence· Ability to draw upon past/present experiences and acquaintances to develop markets and sustain long-term relationships Note -- applicants must be authorized to work in the United States. Benefits of working with us· Compensation you control and a complete benefits package· Personalized and comprehensive training and support in all areas important to building your business · Sponsorship as well as coaching to obtain the licensing required for hire · Ability to specialize in numerous areas from being a Certified Financial Planner, to a junior or senior partner in a firm model, to employee and executive benefits and other specialized areas of focus · Ability to work jointly with senior joint-work partners and to be coached by top performers · Advancement and management opportunities· A work-life balance and access to a full suite of remote-work technology solutions To get started as a Financial Professional, Equitable Advisors will sponsor your pursuit of the licensing requirements, and our training curriculum is designed to provide the skills and tools you need for the opportunity to succeed. Our training program consists of training across numerous areas: client management skills, sales skills, market development, product knowledge, technology systems and core practice management systems. Securities offered through Equitable Advisors, LLC (NY, NY (212) 314-4600), member FINRA, SIPC (Equitable Financial Advisors in MI & TN). Investment advisory products and services offered through Equitable Advisors, LLC, an SEC-registered investment advisor. Annuity and insurance products offered through Equitable Network, LLC. Equitable Advisors, LLC is an equal opportunity employer. M/F/D/V. GE-3702612(8/21)(Exp.8/23)"
"EV Charging Field Service Electrician - Lincoln, NE",Pearce Renewables,"Lincoln, NE",Remote,2 weeks ago,Full-time · Mid-Senior level,"About the job
Job Type

Full-time

Description

At PEARCE RENEWABLES, we've got a career for you

Join the nation’s leading independent service provider for commercial and utility-scale wind, solar, EV charging, and energy storage assets. With over 1,700 team members, operating out of 25 offices throughout the country and servicing approximately 50,000 unique locations Pearce serves a wide range of OEMs, asset owners, and operators. Pearce’s broad service capabilities and geographic footprint throughout the United States provides an excellent home for field technicians/electricians and service professionals to grow and advance their careers. Learn more about Pearce Renewables at www.Pearce-Renewables.com.

Position Summary

We are searching for a skilled and motivated EV Charging Field Service Electrician. This key role is responsible for the onsite repair and maintenance of EV charging stations in a specific geographic region, including but not limited to site safety, electrical system maintenance/repair, site field reports, and other duties as required to properly maintain and operate the site within the contractual requirements. This role must be able to work independently with little to no supervision and will be required to work in the field under various conditions. Evening or weekend work is rare but, may be requested for emergency response. Candidates must have a strong background in electrical maintenance and troubleshooting.

DUTIES And RESPONSIBILITIES

Perform OEM testing, troubleshooting, repairs, and upgrades/ revisions to a broad range of equipment, ranging from Level 2 EV chargers to DC Fast Chargers
Perform testing on equipment, including but not limited to; insulation testing (megger testing), thermal imagery, torque tests, and performance evaluations.
Troubleshoot system performance issues and locate/isolate ground faults.
Work closely with the Planning and Scheduling team to ensure maintenance schedules are adhered to and work orders are completed accurately and on time
Conduct site safety assessments and identify all safety hazards on the job site, properly generate and complete JHA, LOTO, and other safety-related documentation as per OSHA and site-specific requirements.
Review site manuals and drawings to ensure proper service and maintenance of equipment
In fieldwork including electrical and mechanical preventative and corrective maintenance of site equipment, site field reporting, work order completion, and other work as needed.
Quality assurance for all work performed on-site
Overall site cleanliness
Communicate with internal and external customers, as required
Generate professional service-specific reports using a work order system that can be presented to the customer.
Ensure that all issues at the site are documented in the work order system and are addressed in a timely manner.
Planned and unplanned overtime and emergency response work may be required

EXPERIENCE And QUALIFICATIONS

2+ years’ equivalent experience in servicing electrical power equipment in the commercial or utility energy field and/or formal electrical training
Strong electrical, electronic, and mechanical troubleshooting skills. Technical knowledge of EV chargers, solar power installations, or other applicable power electronics is preferred, but not required.
High school diploma or GED Equivalent
Strong understudying of OSHA safety requirements including LOTO, Arc Flash, JHA/JSA, etc.
Valid state driver’s license
Electrical – Certified Electrician (Journeyman level) from a relevant state (Required)
Possess a strong work ethic, be a self-starter, and work with little to no supervision.
Excellent technical and non-technical verbal and written communication skills.
Experience using a Computerized Maintenance Management System (CMMS) to generate, track, and complete site work requirements.
Ability to understand and work within company business processes and ensure an efficient working environment.
Demonstrates safe work practices and quality orientation
Able to work within a project team and to spend long hours solo
Ability to analyze and resolve problems independently with a high level of results orientation.
Strong Microsoft Office skills

WORK ENVIRONMENT

This role requires working in all elements, depending on job location, time of year, heat, cold, rain & snow (depending on geographic region for the role)
Working around high voltages and currents
Wear personal protective equipment (PPE), always including a hard hat and safety glasses
Repetitive use of legs, arms, hands, and fingers
Working days, nights, weekends, and overtime as required
Travel may be required.

Other Duties

Please note this job description is not designed to cover or contain a comprehensive listing of activities, duties or responsibilities that are required of the employee for this job. Duties, responsibilities, and activities may change at any time with or without notice.

What We Offer

Join the nation’s leading independent service provider for commercial and utility-scale wind, solar, EV charging, and energy storage assets. Pearce will provide with you the tools and resources you need to design, build and enhance a successful career. We are dedicated to the success of our employees through competitive salary, incentives, health and retirement benefits. Also provided are all necessary tools and safety equipment.

Pearce Renewables believes in strength through diversity. We are an equal opportunity employer. All aspects of employment including the decision to hire, promote, discipline, or discharge, will be based on merit, competence, performance, and business needs. We do not discriminate based on race, color, religion, marital status, age, national origin, ancestry, physical or mental disability, medical condition, pregnancy, genetic information, gender, sexual orientation, gender identity or expression, veteran status, or any other status protected under federal, state, or local law.

#RENEWABLES"
Registered Nurse,Owensboro Health,"Leitchfield, KY",On-site,2 weeks ago,$15.82/hr - $20.95/hr (from job description) · Full-time · Mid-Senior level,"About the job
Job Summary

Provides direct nursing care in accordance with established policies, procedures, and protocols of the healthcare organization.

Job Responsibilities

Implements and monitors patient care plans.
Monitors, records, and communicates patient condition as appropriate.
Serves as a primary coordinator of all disciplines for well-coordinated patient care.
Notes and carries out physician and nursing orders.
Assesses and coordinates patient's discharge planning needs with patient/family and members of the healthcare team.
Assesses learning needs of patient and family and provides education based on age, culture, and willingness to learn.
Performs job duties in accordance with the Nurse Practice Act.

Qualifications

Associate's degree or higher or Diploma in Nursing required upon hire AND
Bachelor's degree or higher in Nursing required within 5 years of employment in this position
No experience required
RN - Licensed as a Registered Nurse. Eligible to practice nursing in the State of Kentucky required upon hire AND
BLS - Certified as a Basic Life Support Healthcare Provider required within 45 days of employment in this position

Skills and Attributes

Requires critical thinking skills and decisive judgment.
Works under minimal supervision.
Must be able to work in a stressful environment and take appropriate action.
Department specific competencies for positions are detailed in the unit/department scope of service.

Physical Demands

Standing: Frequently
Walking: Frequently
Sitting: Occasionally
Lifting 0-25 lbs: Frequently
Lifting 25-75 lbs: Rarely
Lifting over 75 lbs: Rarely
Carrying 0-25 lbs: Frequently
Carrying 25-75 lbs: Rarely
Carrying over 75 lbs: Rarely
Pushing/Pulling 0-25 lbs: Frequently
Pushing/Pulling 25-75 lbs: Frequently
Pushing/Pulling over 75 lbs: Frequently
Climbing: Occasionally
Bending/Stooping: Frequently
Kneeling: Occasionally
Crouching/Crawling: Occasionally
Reaching: Frequently
Talking: Frequently
Hearing: Frequently
Repetitive Foot/Leg Movements: Rarely
Repetitive Hand/Arm Movements: Frequently
Keyboard Data Entry: Frequently
Running: Occasionally
Vision: Depth Perception: Frequently
Vision: Distinguish Color: Frequently
Vision: Seeing Far: Frequently
Vision: Seeing Near: Frequently

Owensboro Health Core Commitments

INTEGRITY - We conduct ourselves with a high level of responsibility, reliability and honesty because we take seriously the trust of our patients and coworkers.

RESPECT - We value and accept the unique talents and contributions of every patient, customer and team member in the Owensboro Health community.

TEAMWORK - We build a spirit of connectivity and fellowship by striving together to overcome obstacles, surpass goals, celebrate accomplishments and plan the future.

INNOVATION - We foster original ideas and creative solutions that improve our daily work and promote the mission of Owensboro Health.

SERVICE - We focus on service to patients, customers and team members by anticipating their needs, thoughtfully meeting those needs and continually improving the quality of everything we do.

EXCELLENCE - We reach beyond basic expectations to expand our knowledge and awareness, produce exceptional work and provide outstanding service."
Business Sales Representative,Cantrio,"New York, NY",On-site,2 weeks ago,Full-time · Entry level,"About the job
We are looking to add to our team a Business Development / Sales Associate, who will have tremendous growth opportunities and work in many areas of the business, predominately in new client outreach and acquisition. To perform this role successfully, the associate will be responsible for but not limited to the following:

Conduct industry research and analysis;
New client outreach;
Analyze and prepare proposals;
Present new business partnerships with clients;
Review architectural drawings and blueprints;
Prepare project status reports;
Manage and communicate on ongoing projects with clients;
Forecast material requirements;

Requirements / Skills

Excellent organizational skills with demonstrated ability to execute tasks in an efficient and timely manner;
Experience in general sales and client relations;
Strong interpersonal, communication, facilitation, and presentation skills;
Strong analytic and problem solving skills;
Ability to work independently and with minimal supervision;
Good computer skills;
Previous knowledge of general construction (plus);
Bachelor's degree or equivalent experience;
0 - 1 year professional working experience;"
Senior IT Desktop Support Specialist,ICU Medical,"Southington, CT",On-site,4 hours ago,Part-time · Entry level,"About the job
Job Title: Senior IT Desktop Support Specialist

Position is 100% onsite role in Southington CT ICU Medical location.

FLSA Status: Exempt

Position Summary

As a member of the IT Desktop Support team, this Senior IT Desktop Support Specialist position is responsible for interfacing with the IT Service Desk as a 2nd level escalation in user communication and technical support. This position will work extensively within the Incident, Service Request, Knowledge, and Asset Management processes; ensuring proper troubleshooting, restore, and completeness of services requested by the customer or internal IT teams. Technology support is focused on all desktop interaction points that a customer may engage with, including, access provisioning, hardware deployment, software management, general support and questions, compliance, and IT purchasing. In addition, this role serves as a mentor to other IT Desktop Support Specialist team members and often serves in a leadership capacity.

Essential Duties & Responsibilities
Provide support to end users or processes that cannot be resolved by 1st and 2nd level support (Service Desk and Desktop Support)
Serve as a Technical Lead and mentor to Desktop Support Specialists
Work with end users and provide support services aligned to defined service level agreements (SLA) and to ITIL standards.
Monitor, troubleshoot and maintain all end user computing technologies including, but not limited to, desktops, laptops, docks, monitors, printers, LAN, phones, conference devices, mobile devices and related Operating Systems and software.
Uphold and implement security standards in compliance with IT Security department.
Manage support interactions through the IT Service Management System
Support users by writing and maintaining documentation that help to answer questions and resolve problems.
Assist Management in gathering information and creating processes, procedures, and policies.
Gather information for status reports on progress of projects, open items, and issues.
Follow the established standards for documenting projects, configurations, and standard operating procedures.
Perform all job-related responsibilities with minimal management direction and guidance.
Work within the defined Incident, Request, Asset, and Change Management processes
Responsible for compliance including password management, documentation, maintenance, provisioning access, and data protection procedures.
Work to minimize downtime impact on users through accurate communication, planning of scheduled downtimes and quick problem resolution for unscheduled downtimes.
Monitor performance, diagnose issues, and perform emergency and scheduled maintenance as required on IT systems.
Participate in strategic initiatives by performing technical and process project activities.
Engage with audit and follow audit guidelines as requested.
Provide 24/7 on-site support as required.
Work on special assignments as they arise.
Knowledge, Skills & Qualifications
5+ years’ experience supporting electronic user devices to include but not limited to desktops, laptops, printers, RF guns (mobile computers)
Strong written and verbal communication skills
Experience administratively supporting Microsoft Windows (Desktop and Server)
Experience with Microsoft Office suite (Outlook, Visio, Excel, and etc.)
Experience with network switching technology (VLAN, TCP/IP, DHCP, and etc.)
Experience with diagnosing and troubleshooting software and hardware issues.
Able to lift 50 lbs.
Self-starter/Ability to work independently.
Enthusiastic about technology
Strong customer service skills
Able to work quickly and effectively under pressure and to efficiently handle multiple priorities simultaneously.
Knowledge of the ITIL disciplines
Proven leadership and work ethic
Education And Experience
High school diploma is required; Bachelor’s degree from an accredited college or university in Computer Science, Information Systems, or related IT field is preferred.
Minimum 5 years of experience in a Service Desk or Desktop support environment
CompTIA A+ or Network + certification
Microsoft certifications related to Desktop and/or Server support.
Minimum Qualifications
Must be 18 years of age.
Travel Requirements
Typically requires travel less than 5% of the time.
Physical Requirements And Work Environment
This is largely a sedentary role. This job operates in a professional office environment and routinely uses standard office equipment. May need to lift and transport moderately heavy objects, such as computers or peripherals.
ICU Medical is an Affirmative Action and Equal Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, or protected veteran status and will not be discriminated against on the basis of disability.

Operations

Primary Location

US-CT-Southington

Schedule

Full-time

Shift

Day Job"
Business Development,ReedTMS Logistics,"Tampa, FL",On-site,2 weeks ago,Full-time · Mid-Senior level,"About the job
The primary objective of a Business Development employee is to build trusted relationships with customers to fulfill the service requirements of Reed customers while maximizing profitability. Business Development employees must maintain a daily focus by identifying and qualifying customers and employees must cold call potential customers and attempt to profile them for the sales team.

ESSENTIAL FUNCTIONS:
Identifying potential customer and convey services over the phone or via email
Overcoming objections and rebuttals
Effectively build rapport with customers
Understand ReedTMS system in terms of customer profiles, dispatch system, customer service, reporting, A/R inquiry
Cold call, message, and using other forms of communication to reach and expand customer relationships
Extensive internet research and development
Follow-up and follow through with self-generated leads to achieve sales target goals
Create effective business plans for generating new sales leads
Responsible for prospecting, qualifying and generating new sales leads to support the National Sales Representatives
Identify appropriate sales leads from multiple sources including inbound marketing leads, prospect lists and other databases and sources, as well as discovery and individual research.
Follow up with leads who have been contacted in the past and identify customers within the target market
Provide feedback to others in department related to information prospects share that could be helpful in advertising/marketing as well as our overall programs
Other duties as assigned.

EXPERIENCE:
1-4 years in sales or logistics; related experience and/or training; or equivalent combination of education and experience.

EDUCATION:
Associate’s degree (A.A.) or equivalent from two-year College or Technical school.

KNOWLEDGE, SKILLS, ABILITIES:
Intermediate mathematical abilities. Ability to add, subtract, multiply and divide in all units of measure, using whole numbers, common fractions, and decimals.
Organized and capable of prioritizing under strict timelines.
Interpret a variety of instructions furnished in written, oral, diagram or schedule form.
Database software, contract management systems, word processing, ReedTMS software and spreadsheets.
Ability to read, analyze, and interpret the most complex documents.
Responds effectively to the most sensitive inquiries or complaints. Ability to write documents using original or innovative techniques or style.
Capable of speaking effectively before groups of customers or employees.
Other duties as assigned

The intent of this job description is to describe the major duties and responsibilities performed by incumbents of this job. Incumbents may be required to perform other job-related tasks other than those specifically included in this description.

We are proud to be an EEO employer M/F/D/V. We maintain a drug-free workplace.

Note to Recruiters and Placement Agencies: We do not accept unsolicited resumes from outside recruiters /placement agencies. ReedTMS will not pay fees associated with resumes presented through unsolicited means."
Automation/Controls Engineer,Autoliv,"Corinne, UT",Hybrid,4 weeks ago,Full-time · Director,"About the job
As a leading provider of automotive occupant safety solutions, Autoliv North America is always searching for exceptional men and women who are looking to share our passion for preserving the security and well-being of passengers, while broadening their capabilities. We are currently seeking an Automation Controls Engineer who will help ensure that we remain a clear market leader in the automotive safety industry.

We are currently seeking an Automation Controls Engineer who will help ensure that we remain a clear market leader in the automotive safety industry.

Job Description And Responsibilities

Analyze, research, design, develop and test our equipment, materials and processes.
Devise modeling and measuring techniques, troubleshoot machine control problems and facilitate software and process design that satisfies customer needs.
Solid knowledge of mathematics, statistical methods, engineering methods and other principles of science and physics.
Create PLC and HMI programs, create hardware designs and modifications.
Knowledge of general programming practices.
Ability to understand and create electrical / controls drawings.
Excellent computer skills, must work well with others in a team setting.
Understanding existing processes and improving utilizing controls ""tools"" to automate.
Willingness to learn and become proficient with all aspects of control engineering job functions.
Completing assigned work orders, which define specific tasks.
Knowledge of Allen Bradley RS Logix 5000 and RS View Studio.
Knowledge of hardware devices: relays, VFD’s, sensors, basic controls devices.

Qualifications

To qualify for our Automation Controls Engineering position, you must have:

Bachelor's degree in computer science, software engineering, electrical engineering technology and or must be currently attending college as a senior and graduating in the spring.
Background in control networks, including Ethernet/IP.
Familiarity with plant manufacturing including, electrical / controls technology in a production and processing environment, RS232 and RS485 protocol, vision and barcode scanning systems.
Experience in Automation Controls Programming experience with PLC Ladder Logic Systems and HMI."
Civil Engineer,Pennoni,"Clearwater, FL",On-site,1 week ago,$20/hr - $22/hr (from job description) · Full-time,"About the job
Pennoni is a multidisciplinary consulting engineering firm founded more than five decades ago. We approach engineering challenges from a wider spectrum of angles than most, from land development to energy management. Our goal is to help communities and private sector clients alike navigate the ever-changing technological advancements available and learn how best to integrate “smart” solutions into the current landscape to make them a part of resilient and sustainable planning. Our combination of talent and experience generates unprecedented solutions for diverse and iconic projects around the globe.

Job Responsibilities

Pennoni is currently looking for a Civil Engineer with experience consistent, but not limited to:
Independently designing and drafting civil engineering projects using AutoCAD Civil 3D
Design experience and plans preparation for Site Design/Land Development Projects involving site layout, grading, stormwater management, and utility design
Developing project cost estimates and specifications
Managing projects/tasks of various sizes for a variety of clients
Managing client relationships with public and private clients, including contractors
Coordinating design tasks with other service groups
Required Attributes
Education: Bachelors Degree
Specific Degree Required: Civil Engineering
Years of Experience: 2-5
Computer Skills Required: AutoCAD Civil 3D, ICPR, Storm Sewers (or compatible pipe design software)
High proficiency using Civil 3D for design and plans preparation.
Need to be organized, have good technical writing and communication skills, and be a self-starter.
Preferred Attributes
Communication skills are a must
The ability to look at the big picture relative to the project goals and coordinate various design disciplines
Must be able to work independently as well as in a team
Appropriate appearance and manners to attend meetings with clients
Why Work With Us?

At our core, we recognize that the unique qualities of our Pennoni individuals are essential for innovation and growth as a whole. Pennoni, an ENR Top 500 consulting engineering firm, offers many opportunities to help you build your career. We continually strive to build a great workplace where our employees trust the people they work for, enjoy the people they work with, and take pride in what they do.

Equal Opportunity Employer/Veterans/Disabled"
Registered Nurse,Owensboro Health,"Owensboro, KY",Hybrid,2 weeks ago,Full-time · Entry level,"About the job
Job Summary

Provides direct nursing care in accordance with established policies, procedures, and protocols of the healthcare organization.

Job Responsibilities

Implements and monitors patient care plans.
Monitors, records, and communicates patient condition as appropriate.
Serves as a primary coordinator of all disciplines for well-coordinated patient care.
Notes and carries out physician and nursing orders.
Assesses and coordinates patient's discharge planning needs with patient/family and members of the healthcare team.
Assesses learning needs of patient and family and provides education based on age, culture, and willingness to learn.
Performs job duties in accordance with the Nurse Practice Act.

Qualifications

Associate's degree or higher or Diploma in Nursing required upon hire AND
Bachelor's degree or higher in Nursing required within 5 years of employment in this position
No experience required
RN - Licensed as a Registered Nurse. Eligible to practice nursing in the State of Kentucky required upon hire AND
BLS - Certified as a Basic Life Support Healthcare Provider required within 45 days of employment in this position

Skills and Attributes

Requires critical thinking skills and decisive judgment.
Works under minimal supervision.
Must be able to work in a stressful environment and take appropriate action.
Department specific competencies for positions are detailed in the unit/department scope of service.

Physical Demands

Standing: Frequently
Walking: Frequently
Sitting: Occasionally
Lifting 0-25 lbs: Frequently
Lifting 25-75 lbs: Rarely
Lifting over 75 lbs: Rarely
Carrying 0-25 lbs: Frequently
Carrying 25-75 lbs: Rarely
Carrying over 75 lbs: Rarely
Pushing/Pulling 0-25 lbs: Frequently
Pushing/Pulling 25-75 lbs: Frequently
Pushing/Pulling over 75 lbs: Frequently
Climbing: Occasionally
Bending/Stooping: Frequently
Kneeling: Occasionally
Crouching/Crawling: Occasionally
Reaching: Frequently
Talking: Frequently
Hearing: Frequently
Repetitive Foot/Leg Movements: Rarely
Repetitive Hand/Arm Movements: Frequently
Keyboard Data Entry: Frequently
Running: Occasionally
Vision: Depth Perception: Frequently
Vision: Distinguish Color: Frequently
Vision: Seeing Far: Frequently
Vision: Seeing Near: Frequently

Owensboro Health Core Commitments

INTEGRITY - We conduct ourselves with a high level of responsibility, reliability and honesty because we take seriously the trust of our patients and coworkers.

RESPECT - We value and accept the unique talents and contributions of every patient, customer and team member in the Owensboro Health community.

TEAMWORK - We build a spirit of connectivity and fellowship by striving together to overcome obstacles, surpass goals, celebrate accomplishments and plan the future.

INNOVATION - We foster original ideas and creative solutions that improve our daily work and promote the mission of Owensboro Health.

SERVICE - We focus on service to patients, customers and team members by anticipating their needs, thoughtfully meeting those needs and continually improving the quality of everything we do.

EXCELLENCE - We reach beyond basic expectations to expand our knowledge and awareness, produce exceptional work and provide outstanding service."
Entry Level Sales Representative –Greensboro NC – 2478629,IQVIA,"Greensboro, NC",Hybrid,2 weeks ago,$20/hr (from job description) · Full-time · Entry level,"About the job
As the only global provider of commercial solutions, IQVIA understands what it takes to deliver nationally and internationally. Our teams help biopharma get their medicines to the people who need them. We help customers gain insight and access to their markets and ultimately demonstrate their product’s value to payers, physicians and patients. A significant part of our business is acting as the biopharma’s sales force to physicians or providing nurses to educate patients or prescribers. With the right experience, you can help deliver medical breakthroughs in the real world.

We are excited to announce that in partnership with L’Oreal/CeraVe Skincare we are looking for Sales Representatives to join our team of over 10,000 global field representatives in several regions making over 20 million product details annually for our pharmaceutical and biotech clients.

Sales Representative

The Sales Representative is primarily responsible for achieving sales forecast and gaining recommendations of promoted products and, subsequently, sales of products within assigned territory. This is accomplished by establishing mutually beneficial, long-term business relationships with influential physicians, and healthcare providers key to the sales success of promoted products. The Sales Representative is also responsible for coordinating sales strategies with appropriate teammates to maximize sales in assigned territory.

Qualifications/Experience
4-year Bachelor’s degree from an accredited college/university required
B2B sales experience preferred
1-3 years Primary Care Medical experience a plus
Pediatric Sales experience is highly preferred
Strong relationships in territory a plus
Demonstrated success in prior roles
Proven track record of exceeding sales objectives
Have a valid driver’s license and be insurable

Requirements
Entrepreneurial spirit and drive
Demonstrated business acumen
Demonstrated analytical skills
Demonstrated success in persuasion, influence, and negotiation skills
Demonstrated leadership ability
Demonstrated ability to apply technical/scientific knowledge
Flexibility to learn new products over time
Knowledge of and experience with the selling process
Initiative and execution-oriented
Teamwork
Ability to lift 20 pounds"
